"Tax","Taxas e Impostos"
"Tax Calculation Based On","Cálculo de Imposto em"
"Tax Calculation Method Based On","Forma de Cálculo de Imposto em"
"Tax Class for Shipping","Classe de Imposto para Entrega"
"Tax Classes","Classe de Imposto"
"Tax Identifier","Identificador"
"Tax Rate","Taxa Imposto"
"Tax Rate Information","Informações da Taxa"
"Tax Rule Information","Informações da Regra de Imposto"
"Tax Rules","Regras de Imposto"
"Tax Section","Seção de Imposto"
"Tax Titles","Título do Imposto"
"Tax rate cannot be removed. It exists in tax rule","A taxa de imposto não pode ser removida. Ela existe em uma regra de imposto"
"Tax rates at the same priority are added, others are compounded.","Se houver outras taxas com mesma prioridade, esse terá menor prioridade."
"The tax class has been deleted.","Classe de Imposto foi excluída com sucesso."
"The tax class has been saved.","Classe de Imposto foi salva com sucesso."
"The tax rate has been deleted.","Classe de Imposto foi excluída com sucesso."
"The tax rate has been imported.","Classe de Imposto foi importado com sucesso."
"The tax rate has been saved.","Classe de Imposto foi salvo com sucesso."
"The tax rule has been deleted.","Regra de Imposto foi excluída com sucesso."
"The tax rule has been saved.","Regra de Imposto foi salva com sucesso."
"This class no longer exists","Esta classe não existe mais"
"This rule no longer exists","Esta regra não existe mais"
"This rule no longer exists.","Esta regra não existe mais."
"Total","Total"
"Unit Price","Preço Unitário"
"Whether catalog prices entered by admin include tax.","Se os preços cadastrados pelo administrador incluem impostos."
"Whether shipping amounts entered by admin or obtained from gateways include tax.","Se os valores de entrega informado pelo administrador ou pelo gateway incluem impostos."
"Yes","Sim"
"You cannot delete this tax class as it is used for %d customer groups.","Você não pode excluir esta classe de imposto usada por %d grupos de clientes."
"You cannot delete this tax class as it is used for %d products.","Você não pode excluir essa classe de imposto usada por %d produtos."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Você não pode excluir essa classe de imposto usada para regras de impostos. Você precisa excluir a regra usada antes."
"Zip/Post Code","Cep"
"Zip/Post is Range","Faixa de Cep"
